name,photo,location,rate,title,text
Will,NO photo,GB,1 star: Bad,Keep suspending my account for too much,Keep suspending my account for too much bandwidth usage 200GB per month which is a bit silly. As Dropbox is made to transfer files between computers backup files and send files to friends or work up to 2TB. So what the heck Ive paid for their service for 8 years and I get suspended constantly.
Matt Mason,NO photo,GB,1 star: Bad,Dropbox  overcomplicated  poor support,An overcomplicated product that creeps into controlling your files.  Poor customer support.  Cant turn off features that become mysteriously enabled.  Use G Drive or OneDrive.  Much more simple to use with decent customer support.
Richard S.,NO photo,CA,1 star: Bad,Completely unreliable  keep away,Really unreliable. It randomly deleted folders and files and their support people couldnt figure it out. And it RANDOMLY stops syncing so youre working on the wrong version BAD SOFTWARE. Stay away.
Fiona Mackinlay,NO photo,GB,1 star: Bad,I Dropbox Subscription cancellation fraudlent,I Dropbox a scamI tried to cancel my subscription No Cancel exists in settings its a scam.  I was told that in a year I would revert to the basic package  which beware is not a straight out cancellation it could  become live if you skip emails etc they can take out another subscription. I asked Dropbox to make sure my PayPal account details were deleted I dont want my PayPal details held for over year by dropbox when I have cancelled.  I was told they would check with their payments team to see if that could be done  Surely it is my consumer right in the UK At no time did they suggest I cancel my billing agreement with my own PayPal account..which I did I see lots of people have had the same trouble Totally unprofessional you have to wonder if board members like Condoleeza Rice know what is actually going on.  Am finding out if this is fraudulent in the uk F M
Anderscht,NO photo,CH,1 star: Bad,Dropbox ist zum gnadenloser Abzocker mutiert.,Ein Dateitransfer von schweren Dateien ist extrem hinderlich. Der Empfnger wird dazu gentigt selbst DropboxMitglied zu sein um mehr Mitglieder zu generieren. Als reine CloudFestplatte gut aber teuer und Funktion vom gewhlten Abo abhngig. Vermeidet unbedingt die Mglichkeit automatischer Backups einmal angefangen kommt man fast nicht mehr raus aus dem teuren ABO.Fr Dateitransfers gibt es viel bessere Anbieter bis 50GB pro Aktion Dropbox mit 2TB Kapazitt max. 20GB  welche dazu nichts kostenDropbox wird sobald wie auf all meinen Gerten Spurenfrei entfernt und durch eine eigene Cloudlsung im eigenen Netzwerk mit schneller Glasfaser 1000/1000 ersetzt.
Jeff Saily,NO photo,US,1 star: Bad,I made the mistake of signing up for a,I made the mistake of signing up for a free trial.  I discovered fast I did not like this app so for two days Ive been trying to cancel my trial subscription  Theyve got it rigged so that you cant possibly cancel with any of the instructions they provide.  They have not responded to my emails.  DO NOT GET THEIR FREE TRIAL  Youll be sorry  Horrible company and website
Biya Begum,NO photo,GB,1 star: Bad,Disgusted,If I could give it lower I would. I was unable to login to my account as they had issues from their part  i believe its because they wanted me to pay as there was no space all a sudden even thought I didnt any more pictures and then they deleted. Im disgusted Ill never be able to get them pictures back.
Klara,NO photo,NO,1 star: Bad,Lost all my PC files and need for formatting,Lost all my computer files and had to format the PC with the desktop version on Win10.  The files are all marked as not accessible by the system. I have tried first with Restoro paying 32 dollars which advertises to solve that specific win error  but it did not help then I tried with a recovery point of the pc but still not working. This company should be liable for the damages is causing just check the forums with a number of customers experiencing severe problems after using their stuff.
R. Kivi,NO photo,PT,1 star: Bad,Links getting disabled because of,Links getting disabled because of excessive traffic I was the only one using the link. Upgrade on every step although I have already purchased an upgrade. Slow etc etc. Stay away.
Lars Motschmann,NO photo,DE,1 star: Bad,drecksseite ohne support,NO COMMENT BODY
