name,photo,location,rate,title,text
Allen,NO photo,GB,3 stars: Average,Steep learning curve,I want to store my source code safely transferring from SVN but this is a really steep learning curve.  It might well be great eventually but they could do more to support newcomers.
Pie,https://userimages.trustpilot.com/5e5afbab6ca7154dc886def3/73x73.png,DE,1 star: Bad,i cant recommend this useless trash,NO COMMENT BODY
DkQ,NO photo,SG,1 star: Bad,Dislike it yea,NO COMMENT BODY
mskf,NO photo,IR,5 stars: Excellent,I  Github,Github is the best site for programmers
Roxy,https://userimages.trustpilot.com/5fa04611e7f841001b22ba09/73x73.png,US,5 stars: Excellent,Best website for links,This is a great website for including several link in one file. I always rely on GitHub with my downloads and links. Currently I am teaching my friend how to code basic programs. Whenever she needs an example or source I just give her a GitHub download. GitHub is COMPLETELY safe. Ive downloaded over 20 items on GitHub and I havent gotten any threats. Nice website
Karl Malin,NO photo,GB,1 star: Bad,A complete mess of an interface,If you want a lesson in terrible UI look no further than here. Who doesnt spend time hunting around for the information they want. Its a shame so many developers use it.
Muhammad Junaid Khalid,https://userimages.trustpilot.com/5efe03b72c449ef384cb16f7/73x73.png,PK,5 stars: Excellent,The best website for open sourcing and,The best website for open sourcing and version management. I am just having a loveable experience here
dB.,https://userimages.trustpilot.com/5daaa76798b060e9e60f03d7/73x73.png,IN,4 stars: Great,Must have account on this platform for,Must have account on this platform for developers working on same project. Its such a handy tool for circulating ideas and suggestions while keeping all the work organized.
Klaus Herman,https://userimages.trustpilot.com/5f60820714844e7bfda0b477/73x73.png,DE,5 stars: Excellent,Must have for developer teams,According to our developer team they would not survive without GitHub. Support documentation is straightforward even a newbie can get the hang of the tool instantly.
MovieTrekker HQ,https://userimages.trustpilot.com/5f56f215fb6952507d5b5b36/73x73.png,US,5 stars: Excellent,High profile convenient and professional,I had a paid GitHub account and converted it to free and have several other free accounts.  For both my tech startups and for my open source projects GitHub is great because it is so high profile.  Everybody knows about GitHub.  It isnt easy to get a good username but once you find one it feels like its for life.  I really feel that the promotional value of GitHub is much more valuable than the less known competitors.
Docker Lead,https://userimages.trustpilot.com/5f39a31e0367150f7cbbc18d/73x73.png,US,5 stars: Excellent,Thank you Github,Every opensource developers should thank to Github
Davide Macrelli,https://userimages.trustpilot.com/5d9b4e28e09d0015d87bd473/73x73.png,IT,2 stars: Poor,troppo da nerd,piattaforma 100 stile Wordpress... ho detto tutto... se a te piace quella povert benvenuto Io sono nerd ma amante alla follia del bello della grafica della rapidit e della facilit di utilizzo. Github  tutto lopposto... dato che  la Wikipedia dei programmi dovrebbe copiare la grafica di Wiki per i miei gusti
Chris,NO photo,US,1 star: Bad,Let me choose my password,Let me choose my password. If it is easy to guess and I still want to use it that is my choice not yours.
Floating Apps,https://userimages.trustpilot.com/5ed772e52d07a9232aa3a3af/73x73.png,CZ,5 stars: Excellent,Perfect services for both our public,Perfect services for both our public and private repositories. It speeds up our development process and allows us to easily introduce CI/CD and automatizations.
Vojta,https://userimages.trustpilot.com/5eb6e68c8f25b948dd516d17/73x73.png,CZ,5 stars: Excellent,Great,Great website that every should use
David,NO photo,SE,5 stars: Excellent,No problems so far,No problems so far. Note that it is not a download page and youre supposed to read the code before compiling it if you care about security.
Andre Kodanov,NO photo,US,5 stars: Excellent,FANTASTIC SERVICE,FANTASTIC SERVICE   YESSY AND THE REST OF THE TEAM ARE VERY HELPFUL AND COMMUNICATED WITH US REGULARLY  WILL DEFINITELY USE THEM AGAIN IN THE FUTURE AND RECOMMEND ANYONE TO REACH OUT TO THEM FOR ANY TRANSPORTATION NEEDS IN FLORIDA   THANK YOU   ANDRE TRAFFIX
errorman.org,https://userimages.trustpilot.com/5e96caaa26eeac38231ae028/73x73.png,GB,5 stars: Excellent,Experiment  ,Excellent website for developer
Dave,NO photo,UA,5 stars: Excellent,Greatest cloud version control host,Greatest cloud version control host with the worlds largest community of engineers
Tom Mrz,https://userimages.trustpilot.com/5e92f341a286ee9478a4587b/73x73.png,CZ,1 star: Bad,The worst website for downloads ever.,NO COMMENT BODY
AhRoon,NO photo,KR,5 stars: Excellent,Great for publishing projects or mods,I like GitHub it allows to post small projects like config files and some mods. I recommend using GitHub when publishing mod.
Jacques de Jesus Figueiredo Schmitz Junior,NO photo,BR,5 stars: Excellent,Boa ferramenta para versionamento,Atualmente a ferramenta vai alm do versionamento de cdigo e proporciona integraes com plugins e ferramentas diversas atendendo ao que prope.
67Area,NO photo,FR,5 stars: Excellent,Jutilise github depuis tellement,Jutilise github depuis tellement longtemps maintenant... Cest simple et efficace
Loyal Customer,NO photo,US,1 star: Bad,GitHub Scumbag Thieves,I had an account registered since 2012 and was deployed overseas in military for over a year. Someone came along and wanted my account name so they changed the name of my GitHub which was also my side business and completely screwed me. They never even attempted to notify me or anything of the sort. This is wrong on so many levels they said it was their policy to do this when an account wasnt active for over a year. I finally gave up trying to get me precious name back and since it is their supposed policy I found another account that was not active for over a year like mine. When I requested the name they simply ignored me and dont respond to my requests. These people can go to hell because they know what they did was and is wrong.
Victor Gracida,https://userimages.trustpilot.com/5e1919d2ddcefa1eed550ac4/73x73.png,MX,5 stars: Excellent,......trabajo importante el que,......trabajo importante el que desempea
Ankur Aggarwal,https://userimages.trustpilot.com/5dcee8084fa33c0a4c9dc2d5/73x73.png,IN,5 stars: Excellent,github provides best programs for free,github provides best programs for free this is best place for developers Thanks for providing great service
